variant,scenario,accuracy,macro_f1,mae,pearson,selection_score
teacher_without_missing_training,complete,0.6387362637362637,0.6146141494415868,0.5666855678261656,0.6792480196040529,1.1521907770890982
teacher_without_missing_training,audio_20_middle,0.6387362637362637,0.6146141494415868,0.5695811754967608,0.6784216851808232,1.1506405407482199
teacher_without_missing_training,vision_20_middle,0.6387362637362637,0.6146141494415868,0.5690998682479763,0.6782249419655917,1.1505641243451845
teacher_without_missing_training,audio_vision_20_middle,0.6373626373626373,0.6132038027756926,0.5755079563062352,0.6755217930713945,1.1448486067705284
teacher_without_missing_training,audio_vision_40_middle,0.6373626373626373,0.6135686691357355,0.580603145279763,0.6724237994238922,1.140841682239687
teacher_without_missing_training,all_modalities_30_middle,0.5659340659340659,0.564199178867378,0.6153516261908737,0.6015392918174768,1.0119005641371364
student_full,complete,0.6263736263736264,0.6072038239096158,0.5941352866517103,0.6370915210939012,1.0957615233405895
student_full,audio_20_middle,0.6236263736263736,0.6035297588714374,0.596574690779492,0.6360627234959141,1.0904488096724785
student_full,vision_20_middle,0.6263736263736264,0.6075408462505236,0.5953488283375519,0.636009450035987,1.0947130892021226
student_full,audio_vision_20_middle,0.6236263736263736,0.6042957157650785,0.5969658227829944,0.6351117856603236,1.0901660457296534
student_full,audio_vision_40_middle,0.6236263736263736,0.6038446966097077,0.599533558546522,0.6338262297161653,1.0877875366892424
student_full,all_modalities_30_middle,0.6002747252747253,0.5961530569961271,0.6309980570446126,0.5980394772212573,1.0364430199562311
student_uniform_gate,complete,0.625,0.6035812441177091,0.5959624981112358,0.6353554286873149,1.089946048277215
student_uniform_gate,audio_20_middle,0.6222527472527473,0.6014923851560825,0.5972221040852613,0.6351536140995131,1.0873404732342802
student_uniform_gate,vision_20_middle,0.625,0.6035812441177091,0.5957636792144922,0.6347749850037034,1.0894153093177894
student_uniform_gate,audio_vision_20_middle,0.6236263736263736,0.6026534932956951,0.5969271677377337,0.6345693214736351,1.0879910228348968
student_uniform_gate,audio_vision_40_middle,0.6222527472527473,0.6015302147959248,0.5976787666101929,0.6347285377608707,1.086839060904247
student_uniform_gate,all_modalities_30_middle,0.5961538461538461,0.5907790087296722,0.6354573948312343,0.5964244796143863,1.0283391396362498
student_text_only,complete,0.6291208791208791,0.5979450266313892,0.615168087073131,0.6224461057303609,1.0665991105934673
student_text_only,audio_20_middle,0.6291208791208791,0.5979450266313892,0.615168087073131,0.6224461057303609,1.0665991105934673
student_text_only,vision_20_middle,0.6291208791208791,0.5979450266313892,0.615168087073131,0.6224461057303609,1.0665991105934673
student_text_only,audio_vision_20_middle,0.6291208791208791,0.5979450266313892,0.615168087073131,0.6224461057303609,1.0665991105934673
student_text_only,audio_vision_40_middle,0.6291208791208791,0.5979450266313892,0.615168087073131,0.6224461057303609,1.0665991105934673
student_text_only,all_modalities_30_middle,0.5879120879120879,0.5769431936587361,0.6327915442339912,0.5873785440633624,1.0061238516636009
