version,file_name,matched_id,modality,detection,start,end,length,valid_length,relative_start,relative_length
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,38,38,1,233,0.1630901287553648,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,43,50,8,233,0.18454935622317598,0.034334763948497854
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,52,55,4,233,0.22317596566523606,0.017167381974248927
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,57,57,1,233,0.2446351931330472,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,59,59,1,233,0.2532188841201717,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,70,70,1,233,0.30042918454935624,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,72,72,1,233,0.3090128755364807,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,74,74,1,233,0.31759656652360513,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,76,76,1,233,0.3261802575107296,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,87,89,3,233,0.37339055793991416,0.012875536480686695
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,99,99,1,233,0.4248927038626609,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,103,103,1,233,0.44206008583690987,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,116,116,1,233,0.4978540772532189,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,120,120,1,233,0.5150214592274678,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,126,126,1,233,0.5407725321888412,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,131,131,1,233,0.5622317596566524,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,133,133,1,233,0.5708154506437768,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,137,137,1,233,0.5879828326180258,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,150,150,1,233,0.6437768240343348,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,155,155,1,233,0.6652360515021459,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,158,158,1,233,0.6781115879828327,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,163,163,1,233,0.6995708154506438,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,167,167,1,233,0.7167381974248928,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,169,169,1,233,0.7253218884120172,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,176,176,1,233,0.7553648068669528,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,196,196,1,233,0.8412017167381974,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,201,202,2,233,0.8626609442060086,0.008583690987124463
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,205,205,1,233,0.8798283261802575,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,212,214,3,233,0.9098712446351931,0.012875536480686695
